Merging the first and second columns, and adding the merged column an ".Ti=" or ".sec=" after the number.

"1.Ti=Communication à des tiers ",,,,,
"19.Ti=Droit applicable/ recours ",,,,,"Law enforcement "
"19.2.sec=application du droit français / législation CNIL",,,"Juridiction française ",
"19.3.sec=application du droit européen ",,,,
"19.4.sec=application du droit californien ",,,"Droit californien applicable, sous réserve des règles de conflit de lois ",
"19.5.sec=renonciation au procès et aux recours collectifs. Convention d'arbitrage. Application du droit américain ",,"Lawsuit and class action waiver. Arbitration agreement. Survives termination of ToU agreemen",,
"19.5.sec=renonciation au procès et aux recours collectifs. Application du droit américain ",,"Lawsuit and class action waiver. Arbitration for dispute resolution in the United States",,
"19.6.sec=exonération totale de responsabilité",,"You defend, indemnify, and hold app.net harmless in case of a claim related to your use of the service","Clause limitative de responsabilité maximale ",
"20.Ti=portabilité des données ",,,,,
"20.2.sec=portabilité des données par API Personal Data avec collecte des CGR associées",,"You can get your data back ",,
"20.3.sec=portabilité des données par stockage",,"You can get your data back ",,
"20.4.sec=pas de portabilité des données",,,,
"20.5.sec=pas de droit d'accès ",,,,
